discovery_label,validation_label,pathway,family,discovery_abs_partial_rho,validation_pathway_abs_partial_rho,validation_family_best_pathway,validation_family_abs_partial_rho,validation_abs_rho_threshold,recovered_in_validation,validation_call,run_id,run_dir
breast_discovery,cervical_validation,basal_squamous_state,endocrine_epithelial_identity,0.2950240606303437,0.1869777810956451,luminal_estrogen_response,0.239839329099763,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_20260512_1828,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_20260512_1828
breast_discovery,cervical_validation,luminal_estrogen_response,endocrine_epithelial_identity,0.2698960938849337,0.239839329099763,luminal_estrogen_response,0.239839329099763,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_20260512_1828,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_20260512_1828
breast_discovery,cervical_validation,immune_activation,immune_ecology,0.2480876920182867,0.2057685002928229,immune_exclusion,0.2358012042420995,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_20260512_1828,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_20260512_1828
breast_discovery,cervical_validation,immune_exclusion,immune_ecology,0.2242293985794428,0.2358012042420995,immune_exclusion,0.2358012042420995,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_20260512_1828,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_20260512_1828
breast_discovery,cervical_validation,collagen_ecm_organization,stromal_remodeling_caf_ecm,0.2180805849517763,0.1744416748200088,myofibroblast_caf_activation,0.2026259576652174,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_20260512_1828,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_20260512_1828
breast_discovery,cervical_validation,emt_invasive_front,invasion_boundary_emt,0.2088337230293475,0.1898474180734078,emt_invasive_front,0.1898474180734078,0.2,False,not_recovered,plip_smoke_1500_d64_20260512_1828,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_20260512_1828
breast_discovery,cervical_validation,myofibroblast_caf_activation,stromal_remodeling_caf_ecm,0.2076681465643925,0.2026259576652174,myofibroblast_caf_activation,0.2026259576652174,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_20260512_1828,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_20260512_1828
breast_discovery,cervical_validation,epithelial_identity,endocrine_epithelial_identity,0.2029107584029517,0.1902000047791777,luminal_estrogen_response,0.239839329099763,0.2,True,pathway_or_family_recovered,plip_smoke_1500_d64_20260512_1828,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_20260512_1828
breast_discovery,cervical_validation,unfolded_protein_response,metabolic_stress,0.2027865189397985,0.16950492290411,oxidative_phosphorylation,0.1744590425729483,0.2,False,not_recovered,plip_smoke_1500_d64_20260512_1828,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_20260512_1828
breast_discovery,cervical_validation,oxidative_phosphorylation,metabolic_stress,0.1639531779967161,0.1744590425729483,oxidative_phosphorylation,0.1744590425729483,0.2,False,not_recovered,plip_smoke_1500_d64_20260512_1828,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_1500_d64_20260512_1828
breast_discovery,cervical_validation,basal_squamous_state,endocrine_epithelial_identity,0.2641627415099447,0.2100540227239655,basal_squamous_state,0.2100540227239655,0.2,True,pathway_or_family_recovered,plip_smoke_3000_d64_seed17_null12_20260512_1908,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_null12_20260512_1908
breast_discovery,cervical_validation,myofibroblast_caf_activation,stromal_remodeling_caf_ecm,0.1877113112567738,0.1507783661763349,collagen_ecm_organization,0.2187981850608031,0.2,True,pathway_or_family_recovered,plip_smoke_3000_d64_seed17_null12_20260512_1908,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_null12_20260512_1908
breast_discovery,cervical_validation,immune_exclusion,immune_ecology,0.1684081441116696,0.1934138932405758,immune_exclusion,0.1934138932405758,0.2,False,not_recovered,plip_smoke_3000_d64_seed17_null12_20260512_1908,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_null12_20260512_1908
breast_discovery,cervical_validation,epithelial_identity,endocrine_epithelial_identity,0.1629807886074913,0.1351681575524813,basal_squamous_state,0.2100540227239655,0.2,True,pathway_or_family_recovered,plip_smoke_3000_d64_seed17_null12_20260512_1908,D:\GitHub\pyXenium\benchmarking\morphopathway_atera\results\plip_smoke_3000_d64_seed17_null12_20260512_1908
